3535 MOUNT READ BLVD, ROCHESTER, NY, 14616
731 Center Street, Lewiston, NY, 14092
3588 STATE RT 31, BALDWINSVILLE, NY, 13027
214 Lockport Street, Youngstown, NY, 14174
1717 Pine Avenue, Niagara Falls, NY, 14301
120 TOWNSHIP BLVD, CAMILLUS, NY, 13031
S-4923 Lakeshore Road, Hamburg, NY, 14075
40 West Main Street, Springville, NY, 14141
5399 W Genesee St, Camillus, NY, 13031
5335 West Genesee St Ste 20, Camillus, NY, 13031
1202 PINE AVE, NIAGARA FALLS, NY, 14301
5206 W GENESEE ST, CAMILLUS, NY, 13031
3863 State Rte 31, Liverpool, NY, 13090
1030 Pine Avenue, Niagara Falls, NY, 14301
8770 Dell Center Dr, Liverpool, NY, 13090
3955 Route 31, Liverpool, NY, 13090
317 S Cascade Dr, Springville, NY, 14141
7519 Oswego Road, Liverpool, NY, 13090
7398 OSWEGO ROAD, LIVERPOOL, NY, 13090
2 ELM STREET, FRANKLINVILLE, NY, 14737
8079 North Main Street, Eden, NY, 14057
3325 West Genesee Street, Syracuse, NY, 13219
1819 WEST GENESEE STREET, SYRACUSE, NY, 13204
4713 Onondaga Blvd., Syracuse, NY, 13219
4722 Onondaga Boulevard, Syracuse, NY, 13219
4751 ONONDAGA BLVD, SYRACUSE, NY, 13219
4979 West Taft Road, Liverpool, NY, 13088
2 Center Street, Cuba, NY, 14727
5173 W TAFT RD, NORTH SYRACUSE, NY, 13212
216 SEYMOUR ST, SYRACUSE, NY, 13204
110 BOLIVAR RD, WELLSVILLE, NY, 14895
522 WEST ONONDAGA STREET, SYRACUSE, NY, 13204
6939 Erie Road, Derby, NY, 14047
5380 West Taft Road, N Syracuse, NY, 13212
2616 BREWERTON RD, MATTYDALE, NY, 13211
138 NORTH MAIN ST, Wellsville, NY, 14895
10 N MAIN ST, WELLSVILLE, NY, 14895
519 Butternut Street, Syracuse, NY, 13208
819 S SALINA ST, SYRACUSE, NY, 13202
3035 EAST AVENUE, CENTRAL SQUARE, NY, 13036
401 WEST SENECA TURNPIKE, SYRACUSE, NY, 13207
114 NORTH MAIN STREET, NORTH SYRACUSE, NY, 13212
3018 East Ave, Central Square, NY, 13036
7939 BREWERTON ROAD, CICERO, NY, 13039
5701 East Circle Dr. Suite 100, Cicero, NY, 13039
7952 Brewerton Road, Cicero, NY, 13039
8064 Brewereton Road, Cicero, NY, 13039
4001 S SALINA ST, SYRACUSE, NY, 13205
1405 GENESEE ST, SYRACUSE, NY, 13210
5942 S SALINA ST, SYRACUSE, NY, 13205
3217 Silverback Ln, Painted Post, NY, 14870
1820 Teall Ave, Syracuse, NY, 13206
2329 JAMES ST, SYRACUSE, NY, 13206
375 PULTENEY STREET, CORNING, NY, 14830
8379 Thompson Road., Cicero, NY, 13039
6189 STATE ROUTE 31, CICERO, NY, 13039
500 South Meadow Street, Ithaca, NY, 14850
98 W. PULTENEY ST., CORNING, NY, 14830
602 NOTTINGHAM ROAD, SYRACUSE, NY, 13224
615 S MEADOW ST, ITHACA, NY, 14850
2515 Erie Blvd., Syracuse, NY, 13224
135 Fairgrounds Memorial Pkwy, Ithaca, NY, 14850
24 S Bridge St, Corning, NY, 14830
4256 James Street, East Syracuse, NY, 13057
100 Conhocton St, Corning, NY, 14830
6430 KIRKVILLE ROAD, EAST SYRACUSE, NY, 13057
330 PINE TREE RD, ITHACA, NY, 14850
4764 SALINA STREET, PULASKI, NY, 13142
9050 ERIE RD, ANGOLA, NY, 14006
9062 Erie Road, Angola, NY, 14006
6438 Basile Rowe, East Syracuse, NY, 13057
6789 East Genesee Street, Fayetteville, NY, 13066
2887 WESTINGHOUSE RD, HORSEHEADS, NY, 14845
2898 Westinghouse Road, Horseheads, NY, 14845
830 COUNTY ROAD 64 STE 2, Elmira, NY, 14903
81 West Main Street, Gowanda, NY, 14070
1400 County Rd 64, Horseheads, NY, 14845
101 TOWNE DR, FAYETTEVILLE, NY, 13066
2144 Grand Central Avenue, Horseheads, NY, 14845
79 NORTH ST, DRYDEN, NY, 13053
1067 State Route 222, Cortland, NY, 13045
3948 STATE ROUTE 281, CORTLAND, NY, 13045
819 Bennie Rd, Cortland, NY, 13045
854 State Route 13, Cortland, NY, 13045
170 PORT WATSON STREET, CORTLAND, NY, 13045
8230 CAZENOVIA ROAD, MANLIUS, NY, 13104
265 North Union Street, Olean, NY, 14760
1100 Clemens Center Pkwy, Elmira, NY, 14901
402 N MAIN ST, ELMIRA, NY, 14901
401 North Main Street, Elmira, NY, 14901
1869 Plaza Dr, Olean, NY, 14760
119 West 2nd Street, Elmira, NY, 14901
215 HOFFMAN ST, ELMIRA, NY, 14905
130 S. MAIN STREET, ELMIRA, NY, 14904
1365 W GENESSEE ST, CHITTENANGO, NY, 13037
209 Mount Zoar Street, Elmira, NY, 14904
214 Central Avenue, Silver Creek, NY, 14136
1000 Pennsylvania Avenue, Elmira, NY, 14904
9 Broad Street, Salamanca, NY, 14779
303 PINE STREET, SOUTH DAYTON, NY, 14138
95 NELSON STREET, CAZENOVIA, NY, 13035
423 SOUTH PETERBORO STREET, CANASTOTA, NY, 13032
327 MAIN ST, DUNKIRK, NY, 14048
3795 East Main Road, Fredonia, NY, 14063
10401 Bennett Rd, Fredonia, NY, 14063
2024 Genesee St, Oneida, NY, 13421
1166 Central Avenue, Dunkirk, NY, 14048
20823 State Route 3, Watertown, NY, 13601
1283 Arsenal St, Watertown, NY, 13601
21 N MAIN ST, NEWARK VALLEY, NY, 13811
929 ARSENAL ST, WATERTOWN, NY, 13601
142 Genesee Street, Oneida, NY, 13421
104 GENESEE STREET, ONEIDA, NY, 13421
1655 STATE ST, WATERTOWN, NY, 13601
153 MAIN STREET, OWEGO, NY, 13827
2674 MAIN STREET, WHITNEY POINT, NY, 13862
25737 Us Route 11, Evans Mills, NY, 13637
5815 Rome Taberg Rd, Rome, NY, 13440
412 Day Hollow Road, Endicott, NY, 13760
405 Erie Boulevard West, Rome, NY, 13440
201 S JAMES ST, ROME, NY, 13440
811 North Main Street, Jamestown, NY, 14701
101 West Main Street, Endicott, NY, 13760
1001 North Street, Endicott, NY, 13760
100 EAST MAIN STREET, ENDICOTT, NY, 13760
1717 Black River Road, Rome, NY, 13440
1717 Black River Road, Rome, NY, 13440
1616 BLACK RIVER BLVD, ROME, NY, 13440
50 South Main Street, Jamestown, NY, 14701
10 PROSPECT ST, JAMESTOWN, NY, 14701
1790 Black River Blvd., Rome, NY, 13440
511 Hooper Road, Endwell, NY, 13760
58 GENESEE STREET, GREENE, NY, 13778
963 Fairmount Avenue We, Jamestown, NY, 14701
2405 Vestal Pkwy E, Vestal, NY, 13850
945 Fairmount Ave, Jamestown, NY, 14701
2441 Vestal Pkywy. E., Vestal, NY, 13850
650 Harry L Drive, Johnson City, NY, 13790
350 E Fairmount Ave, Lakewood, NY, 14750
100 Rano Boulevard, Vestal, NY, 13850
335 MAIN ST, JOHNSON CITY, NY, 13790
1 NORTH BROAD STREET, CARTHAGE, NY, 13619
60 High Street, West Carthage, NY, 13619
40 South Erie Street, Mayville, NY, 14757
2 Gannett Dr, Johnson City, NY, 13790
33 Chenango Bridge Road, Binghamton, NY, 13901
1250 UPPER FRONT STREET, BINGHAMTON, NY, 13901
10 Glenwood Ave., Binghamton, NY, 13905
7155 E State St, Lowville, NY, 13367
10 Lafayette Park, Oxford, NY, 13830
85 ROBINSON STREET, BINGHAMTON, NY, 13901
37 PENNSYLVANIA AVE, BINGHAMTON, NY, 13903
82 NORTH BROAD STREET, NORWICH, NY, 13815
160 Robinson Street, Binghamton, NY, 13904
201 Conklin Avenue, Binghamton, NY, 13903
5631 State Highway 12, Norwich, NY, 13815
4535 Commercial Drive, New Hartford, NY, 13413
102 EAST SCHUYLER STREET, BOONVILLE, NY, 13309
4765 Commercial Dr, New Hartford, NY, 13413
5396 State Highway 12, Norwich, NY, 13815
4855 COMMERCIAL DR, NEW HARTFORD, NY, 13413
4854 Commercial Drive, New Hartford, NY, 13413
141 Oriskany Boulevard, Whitesboro, NY, 13492
44 GENESEE ST, NEW HARTFORD, NY, 13413
485 French Road, Utica, NY, 13502
46 Kellogg Road, New Hartford, NY, 13413
49 KELLOGG RD, NEW HARTFORD, NY, 13413
9553 Main Street, Holland Patent, NY, 13354
1924 Genesee Street, Utica, NY, 13502
1917 Genesee Street, Utica, NY, 13501
1750 GENESEE ST, UTICA, NY, 13502
710 Horatio St, Utica, NY, 13502
1143 MOHAWK STREET, UTICA, NY, 13501
208 HERKIMER ROAD, UTICA, NY, 13502
Big Lots Plaza, Utica, NY, 13502
1256 Albany Street, Utica, NY, 13501
8052 STATE ROUTE 12, BARNEVELD, NY, 13304
10 MAIN ST, SIDNEY, NY, 13838
4 CENTRAL PLZ, ILION, NY, 13357
8210 MAIN STREET, HARRISVILLE, NY, 13648
103 N Caroline St, Herkimer, NY, 13350
205 SOUTH CAROLINE STREET, HERKIMER, NY, 13350
115 FRONT ST, DEPOSIT, NY, 13754
400 Chestnut Street, Oneonta, NY, 13820
99 CHESTNUT ST, ONEONTA, NY, 13820
94 Chestnut Street, Oneonta, NY, 13820
5054 State Highway 23, Oneonta, NY, 13820
1000 Main Street, Oneonta, NY, 13820
5626 STATE HIGHWAY 7, ONEONTA, NY, 13820
4057 STATE HWY 3, STAR LAKE, NY, 13690
119 WEST MAIN STREET, HANCOCK, NY, 13783
908 STATE ST, OGDENSBURGH, NY, 13669
710 Gateway Ctr, 981 Ford St, Ogdensburg, NY, 13669
3000 Ford Street Ext, Ogdensburg, NY, 13669
1 MAIN ST, DELHI, NY, 13753
6025 NY State Route 5, Palatine Bridge, NY, 13428
9 E GRAND ST, PALATINE BRIDGE, NY, 13428
97 E MAIN ST, CANTON, NY, 13617
111 East Main Street, Canton, NY, 13617
5 LAKE STREET, STAMFORD, NY, 12167
735 EAST MAIN STREET, COBLESKILL, NY, 12043
105 Plaza Lane, Cobleskill, NY, 12043
7494 Us Highway 11, Potsdam, NY, 13676
139 Merchant Pl, Cobleskill, NY, 12043
147 N COMRIE AVE, JOHNSTOWN, NY, 12095
North Comrie Ave., Johnstown, NY, 12095
172 North Main Street, Gloversville, NY, 12078
173 MARKET ST, POTSDAM, NY, 13676
329 S Kingsboro Ave Ext, Gloversville, NY, 12078
222 5TH AVE EXT, GLOVERSVILLE, NY, 12078
212 NORTH MAIN STREET, NORTHVILLE, NY, 12134
151 GUY PARK AVE, AMSTERDAM, NY, 12010
2490 RIVERFRONT CTR, AMSTERDAM, NY, 12010
4999 STATE HIGHWAY 30, AMSTERDAM, NY, 12010
141 Sanford Farms Plaza, Amsterdam, NY, 12010
149 Market Street, Amsterdam, NY, 12010
101 Sanford Farms Shopping Ctr, Amsterdam, NY, 12010
1934 STATE ROUTE 52, LIBERTY, NY, 12754
303 MAIN ST, MASSENA, NY, 13662
87 Main Street, Massena, NY, 13662
43 Stephenville St, Massena, NY, 13662
61 STATE RTE 296, WINDHAM, NY, 12496
41 Anawana Lake Rd, Monticello, NY, 12701
381 BROADWAY, MONTICELLO, NY, 12701
284 MAIN ST, NORTH CREEK, NY, 12853
957 CURRY ROAD, ROTTERDAM, NY, 12306
200 Dutch Meadows Ln, Glenville, NY, 12302
1879 Altamont Ave., Schenectady, NY, 12303
290 Saratoga Road, Scotia, NY, 12302
1320 Altamont Ave, Schenectady, NY, 12303
1344 GERLING ST, SCHENECTADY, NY, 12308
1203 EASTERN AVENUE, SCHENECTADY, NY, 12308
1640 Eastern Parkway, Schenectady, NY, 12309
5 GARLAND LANE, GREENVILLE, NY, 12083
173 CHURCH STREET, SARANAC LAKE, NY, 12983
442 Balltown Road, Schenectady, NY, 12304
1 PALMER AVE, CORINTH, NY, 12822
Routes 20 and 155, Guilderland, NY, 12084
2061 WESTERN AVE, GUILDERLAND, NY, 12084
90 WEST AVE, SARATOGA SPRINGS, NY, 12866
1892 Central Ave., Albany, NY, 12205
155 Ballston Avenue, Saratoga Springs, NY, 12866
27 ROUND LAKE RD, BALLSTON LAKE, NY, 12019
1863 Central Avenue, Colonie, NY, 12205
1850 CENTRAL AVE, COLONIE, NY, 12205
1706 Western Ave., Guilderland, NY, 12203
50 N MAIN ST, ELLENVILLE, NY, 12428
One Kendall Way, Malta, NY, 12020
7500 Route 209, Napanoch, NY, 12458
141 Washington Ave Extension, Albany, NY, 12205
6272 STATE ROUTE 9, CHESTERTOWN, NY, 12817
3864 MAIN ST, WARRENSBURG, NY, 12885
1395 New Scotland Ave., Slingerlands, NY, 12159
121 OLD ROUTE 146, HALFMOON, NY, 12065
Route 146 and Plank Road, Clifton Park, NY, 12065
16 Old Gick Rd, Saratoga Springs, NY, 12866
3027 Route 50, Saratoga Springs, NY, 12866
3020 ROUTE 50, SARATOGA SPRINGS, NY, 12866
76 PIKE STREET, PORT JERVIS, NY, 12771
1225 Western Avenue, Albany, NY, 12203
3045 Route 50, Saratoga Springs, NY, 12866
2140 SARANAC AVE, LAKE PLACID, NY, 12946
1701 Route 9, Clifton Park, NY, 12065
2160 STATE ROUTE 9, LAKE GEORGE, NY, 12845
1549 Route 9, Clifton Park, NY, 12065
475 Shaker Road, Albany, NY, 12211
579 Troy/Schenectady Rd. Ste. 236, Latham, NY, 12110
463 ALBANY SHAKER ROAD, LOUDONVILLE, NY, 12211
800 Loudon Road, Latham, NY, 12110
1483 Route 9, Clifton Park, NY, 12065
873 New Loudon Road, Latham, NY, 12110
933 LOUDON RD, LATHAM, NY, 12110
311 Route 9w, Glenmont, NY, 12077
329 Glenmont Road, Glenmont, NY, 12077
33 NEW SCOTLAND AVE, ALBANY, NY, 12208
891 Route #9, Queensbury, NY, 12804
41 HOLLAND AVE, ALBANY, NY, 12208
3222 State Route 11, Malone, NY, 12953
724 UPPER GLEN STREET, QUEENSBURY, NY, 12804
677 Upper Glen Street, Queensbury, NY, 12804
202 BROAD ST, GLENS FALLS, NY, 12801
41 PARK PLAZA, MECHANICVILLE, NY, 12118
305 W MAIN ST, MALONE, NY, 12953
305 COLUMBIA ST, RENSSELAER, NY, 12144
3852 MAIN STREET, STONE RIDGE, NY, 12484
124 Ridge Street, Glens Falls, NY, 12801
217 Remsen Street, Cohoes, NY, 12047
94 MAIN ST, SOUTH GLENS FALLS, NY, 12803
1901 2ND AVE, WATERVLIET, NY, 12189
320 West Bridge Street, Catskill, NY, 12414
159 JEFFERSON HEIGHTS, CATSKILL, NY, 12414
869 SECOND AVENUE, TROY, NY, 12182
416 Fifth Avenue, Troy, NY, 12182
30 Catskill Cmns, Catskill, NY, 12414
501 Columbia Turnpike, Renselaer, NY, 12144
24 Quaker Ridge Blvd, Queensbury, NY, 12804
19 CENTRAL AVE, CATSKILL, NY, 12414
83 Vandenburgh Ave, Troy, NY, 12180
279 Troy Rd, East Greenbush, NY, 12144
2460 STATE ROUTE 52, PINE BUSH, NY, 12566
272 Hoosick Street, Troy, NY, 12180
6 SIMMONS PLAZA, SAUGERTIES, NY, 12477
614 COLUMBIA TPKE, EAST GREENBUSH, NY, 12061
549 HOOSICK ST, TROY, NY, 12180
201 PLAZA RD, KINGSTON, NY, 12401
92 MAIN ST, HUDSON FALLS, NY, 12839
354 Broadway, Fort Edward, NY, 12828
601 Frank Stottile Blvd, Kingston, NY, 12401
716 Hoosick Road, Troy, NY, 12180
760 Hoosick Rd, Troy, NY, 12180
1262 DIX AVE, HUDSON FALLS, NY, 12839
96 DOLSON AVE, MIDDLETOWN, NY, 10940
1 FITZGERALD DRIVE, MIDDLETOWN, NY, 10940
1645 COLUMBIA TURNPIKE, CASTLETON, NY, 12033
485 Broadway, Kingston, NY, 12401
351 Flatbush Avenue, Kingston, NY, 12401
